Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeWin,AwayWin,AvgGoalsScored_H,AvgGoalsConceded_H,AvgPoints_H,AvgGoalsScored_A,AvgGoalsConceded_A,AvgPoints_A,GoalDiff_H,GoalDiff_A,FormDiff,Result
2024-09-28,Wolves,Liverpool,1.0,2.0,A,0,3,1.3333333333333333,1.4666666666666666,1.1333333333333333,1.4666666666666666,2.3333333333333335,1.8666666666666667,-0.1333333333333333,-0.8666666666666669,-0.7333333333333334,0
2024-09-28,Brentford,West Ham,1.0,1.0,D,1,1,1.6666666666666667,1.8888888888888888,1.1481481481481481,1.4137931034482758,1.2758620689655173,1.2758620689655173,-0.2222222222222221,0.13793103448275845,-0.1277139208173692,1
2024-09-28,Chelsea,Brighton,4.0,2.0,H,3,0,1.9310344827586208,0.896551724137931,2.3793103448275863,1.7037037037037037,2.0,1.7777777777777777,1.0344827586206897,-0.2962962962962963,0.6015325670498086,2
2024-09-28,Arsenal,Leicester,4.0,2.0,H,3,0,1.7241379310344827,0.9655172413793104,1.896551724137931,2.4242424242424243,0.8484848484848485,0.5757575757575758,0.7586206896551723,1.5757575757575757,1.3207941483803554,2
2024-09-28,Newcastle,Man City,1.0,1.0,D,1,1,2.2,1.0666666666666667,1.8666666666666667,0.9230769230769231,1.5384615384615385,1.6923076923076923,1.1333333333333335,-0.6153846153846154,0.1743589743589744,1
2024-09-28,Leeds,Coventry,3.0,0.0,H,3,0,2.8947368421052633,0.5789473684210527,2.5789473684210527,1.6666666666666667,0.8888888888888888,0.8333333333333334,2.3157894736842106,0.7777777777777779,1.7456140350877192,2
2024-09-28,Hull,Cardiff,4.0,1.0,H,3,0,1.1818181818181819,1.3181818181818181,1.0,1.9473684210526316,1.2105263157894737,0.9473684210526315,-0.13636363636363624,0.736842105263158,0.052631578947368474,2
2024-09-28,Sheffield Weds,West Brom,3.0,2.0,H,3,0,1.3333333333333333,1.2222222222222223,1.1666666666666667,1.2727272727272727,1.0909090909090908,0.9090909090909091,0.11111111111111094,0.18181818181818188,0.2575757575757577,2
2024-09-28,Oxford,Burnley,0.0,0.0,D,1,1,1.3157894736842106,1.368421052631579,1.5263157894736843,0.3157894736842105,1.736842105263158,2.3684210526315788,-0.05263157894736836,-1.4210526315789473,-0.8421052631578945,1
2024-09-28,Derby,Norwich,2.0,3.0,A,0,3,0.9411764705882353,0.8823529411764706,1.1176470588235294,1.45,1.05,1.0,0.05882352941176472,0.3999999999999999,0.11764705882352944,0
2024-09-28,Portsmouth,Sheffield United,0.0,0.0,D,1,1,1.4705882352941178,0.7647058823529411,1.8823529411764706,0.8823529411764706,1.1176470588235294,1.7058823529411764,0.7058823529411766,-0.23529411764705888,0.17647058823529416,1
2024-09-28,Watford,Sunderland,2.0,1.0,H,3,0,1.0,1.105263157894737,1.4210526315789473,1.1578947368421053,1.105263157894737,1.4736842105263157,-0.10526315789473695,0.05263157894736836,-0.05263157894736836,2
2024-09-28,Blackburn,QPR,2.0,0.0,H,3,0,1.4736842105263157,0.8947368421052632,1.7894736842105263,1.1666666666666667,0.9444444444444444,1.2222222222222223,0.5789473684210525,0.22222222222222232,0.567251461988304,2
2024-09-28,Everton,Crystal Palace,2.0,1.0,H,3,0,1.3103448275862069,1.1379310344827587,1.2758620689655173,1.3103448275862069,1.4827586206896552,1.5862068965517242,0.17241379310344818,-0.1724137931034484,-0.31034482758620685,2
2024-09-28,Nott'm Forest,Fulham,0.0,1.0,A,0,3,1.3548387096774193,0.8709677419354839,1.7419354838709677,1.3333333333333333,1.5185185185185186,1.5925925925925926,0.4838709677419354,-0.18518518518518534,0.1493428912783752,0
2024-09-28,Millwall,Preston,3.0,1.0,H,3,0,1.2222222222222223,0.9444444444444444,1.7222222222222223,1.4444444444444444,1.1111111111111112,0.9444444444444444,0.2777777777777779,0.33333333333333326,0.7777777777777779,2
2024-09-28,Wolves,Liverpool,1.0,2.0,A,0,3,1.3333333333333333,1.4666666666666666,1.1333333333333333,1.4666666666666666,2.3333333333333335,1.8666666666666667,-0.1333333333333333,-0.8666666666666669,-0.7333333333333334,0
2024-09-28,Middlesbrough,Stoke,2.0,0.0,H,3,0,1.2,0.9,1.7,1.9473684210526316,0.6842105263157895,0.5789473684210527,0.29999999999999993,1.263157894736842,1.1210526315789473,2
2024-09-28,Newcastle,Man City,1.0,1.0,D,1,1,2.2,1.0666666666666667,1.8666666666666667,0.9230769230769231,1.5384615384615385,1.6923076923076923,1.1333333333333335,-0.6153846153846154,0.1743589743589744,1
2024-09-29,Swansea,Bristol City,1.0,1.0,D,1,1,1.5789473684210527,1.2105263157894737,1.4736842105263157,1.368421052631579,1.0526315789473684,1.0,0.368421052631579,0.3157894736842106,0.4736842105263157,1
2024-09-29,Ipswich,Aston Villa,2.0,2.0,D,1,1,0.8,2.533333333333333,0.4,1.4285714285714286,1.3571428571428572,1.4285714285714286,-1.7333333333333332,0.0714285714285714,-1.0285714285714285,1
2024-09-29,Man United,Tottenham,0.0,3.0,A,0,3,1.0714285714285714,1.5,1.2142857142857142,1.5333333333333334,1.6666666666666667,1.0666666666666667,-0.4285714285714286,-0.1333333333333333,0.14761904761904754,0
2024-09-29,Man United,Tottenham,0.0,3.0,A,0,3,1.0714285714285714,1.5,1.2142857142857142,1.5333333333333334,1.6666666666666667,1.0666666666666667,-0.4285714285714286,-0.1333333333333333,0.14761904761904754,0
